,Current Smoker (%) (All),Current Smoker (%) (Every Day),Current Smoker (%) (Some Days),"Former Smoker (> 100, not at all now) (%)",Never Smoked (< 100 lifetime) (%),Population Size (thousands),Sample Size
Total,21.4,17.5,4,21.4,57.2,"197,365","224,902"
Male,24,19.6,4.5,25,51,"94,369","105,176"
Female,19.1,15.5,3.6,18.1,62.9,"102,996","119,726"
Region:,,,,,,,
Northeast,21,17.1,3.8,23,56,"38,222","47,161"
Midwest,23.5,19.6,4,21.8,54.7,"45,707","53,343"
South,22.3,18.5,3.8,20.2,57.6,"69,847","69,139"
West,18.3,13.8,4.5,21.4,60.2,"43,589","55,259"
Race/Ethnicity:,,,,,,,
White,22.5,18.9,3.6,24.4,53.1,"145,958","175,378"
Black,21.6,16.5,5.1,13,65.5,"22,513","20,487"
"American Indian, Aleut, Eskimo (NH)",33.4,26.8,6.6,20.3,46.3,"1,477","2,372"
Asian or Pacific Islander (NH),12.7,9.6,3.2,11,76.3,"7,297","8,027"
Hispanic,15.5,9.9,5.6,12.7,71.7,"20,120","18,638"
Age:,,,,,,,
18-24,23,17.5,5.5,6.5,70.6,"25,391","25,231"
25-44,25,20.1,4.9,14.9,60.1,"82,422","91,874"
45-64,22.1,18.7,3.4,28.6,49.2,"57,366","68,022"
65+,9.9,8.2,1.7,36.8,53.3,"32,186","39,775"
Education:,,,,,,,
<12 years,25.8,21.8,4,22.6,51.6,"28,372","31,859"
12 years (HS),26.7,22.8,4,23.7,49.6,"56,211","66,265"
13-15 years,22,17.9,4.1,25.3,52.7,"42,586","49,988"
16+ years,10.6,7.6,3.1,22.4,67,"44,806","51,559"
